,Country,Death,Confirmed,Recovered,Date,DeathAccumulated,ConfirmedAccumulated,RecoveredAccumulated,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,LOCATION,Year,Total population,Acute_myocardial_infarction,Asthma,Chronic_obstructive_Pulmonary_diseases,Diabetes_mellitus,Diseases_of_the_respiratory_system,Influenza,Ischaemic_heart_diseases,Pneumonia,Population__65_years_old_and_over,Population__80_years_old_and_over,Air_pollution,Rooms_per_person,Number of people per household,Single person households,Population__65_to_80_years_old,retail_and_recreation_percent_change_from_baseline_Lag_23,grocery_and_pharmacy_percent_change_from_baseline_Lag_23,parks_percent_change_from_baseline_Lag_23,transit_stations_percent_change_from_baseline_Lag_23,workplaces_percent_change_from_baseline_Lag_23,residential_percent_change_from_baseline_Lag_23,Confirmed_Lag_14,TimeSince1stDeath,DeathNotNormalized,ConfirmedNotNormalized,RecoveredNotNormalized
34,Denmark,0.15849680223896104,2.518338080019048,5.230394473885715,2020-04-19,355,7580,4328,-17.833333333333332,-10.5,131.83333333333334,-40.0,-13.833333333333334,4.666666666666667,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,-37.0,-17.5,104.0,-59.833333333333336,-54.0,18.833333333333332,292.0,34.0,9.0,143.0,297.0
35,Denmark,0.15849680223896104,2.3070090103671,3.0114392425402596,2020-04-20,364,7711,4499,-11.333333333333334,-4.666666666666667,132.33333333333334,-39.0,-39.666666666666664,12.5,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,-40.833333333333336,-13.166666666666666,87.33333333333333,-53.5,-27.0,10.166666666666666,314.0,35.0,9.0,131.0,171.0
36,Denmark,0.10566453482597403,3.1699360447792206,6.8681947636883125,2020-04-21,370,7891,4889,-13.0,-1.0,146.5,-37.333333333333336,-38.5,12.0,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,-35.166666666666664,-20.666666666666668,38.0,-58.333333333333336,-27.666666666666668,8.833333333333334,391.0,36.0,6.0,180.0,390.0
37,Denmark,0.24655058126060608,3.8215340095393944,6.815362496275326,2020-04-22,384,8108,5276,-15.166666666666666,-3.0,139.83333333333334,-37.5,-38.333333333333336,12.166666666666666,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,-31.0,-17.666666666666668,58.666666666666664,-57.666666666666664,-53.0,17.833333333333332,331.0,37.0,14.0,217.0,387.0
38,Denmark,0.17610755804329006,2.870553196105628,5.230394473885715,2020-04-23,394,8271,5573,-15.666666666666666,-2.0,168.66666666666666,-37.666666666666664,-38.166666666666664,12.0,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,-20.833333333333332,-3.1666666666666665,72.66666666666667,-52.333333333333336,-52.333333333333336,16.833333333333332,233.0,38.0,10.0,163.0,297.0
39,Denmark,0.15849680223896104,2.412673545193074,2.5007273242147185,2020-04-24,403,8408,5715,-22.666666666666668,-5.0,125.83333333333333,-44.0,-38.833333333333336,12.666666666666666,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,-29.166666666666668,-11.333333333333334,16.333333333333332,-56.333333333333336,-52.666666666666664,18.166666666666668,184.0,39.0,9.0,137.0,142.0
40,Denmark,0.2641613370649351,4.138527614017317,2.518338080019048,2020-04-25,418,8643,5858,-25.833333333333332,-1.5,140.66666666666666,-35.166666666666664,-11.833333333333334,5.833333333333333,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,-31.833333333333332,-12.666666666666666,11.5,-59.5,-53.5,19.166666666666668,177.0,40.0,15.0,235.0,143.0
41,Denmark,0.07044302321731602,2.2893982545627707,2.395062789388745,2020-04-26,422,8773,5994,-19.0,-10.833333333333334,84.16666666666667,-41.333333333333336,-15.5,4.666666666666667,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,-32.833333333333336,-10.0,38.0,-59.0,-53.333333333333336,18.666666666666668,178.0,41.0,4.0,130.0,136.0
42,Denmark,0.08805377902164503,2.1661229639324677,2.712056393866667,2020-04-27,427,8896,6148,-17.833333333333332,-8.333333333333334,59.5,-40.666666666666664,-38.0,12.833333333333334,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,-35.833333333333336,-7.666666666666667,65.5,-50.0,-23.666666666666668,9.5,144.0,42.0,5.0,123.0,154.0
43,Denmark,0.12327529063030304,2.6944456380623376,2.905774707714286,2020-04-28,434,9049,6313,-17.666666666666668,-5.5,104.5,-36.333333333333336,-36.5,10.333333333333334,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,-19.166666666666668,-10.5,121.0,-46.5,-22.166666666666668,6.5,193.0,43.0,7.0,153.0,165.0
